"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","total_input_tokens","total_output_tokens","total_cache_creation_tokens","total_cache_read_tokens"
"2026-02-18","AggelikiChroni","copilot","copilot_premium_request","GPT-5.2","4","requests","0.04","0.16","0.16","0","False","1000","avocado-enchilada-trial","","6413","989","0","27264"
"2026-02-18","glorialangreo","copilot","copilot_premium_request","GPT-5.3-Codex","3","requests","0.04","0.12","0.12","0","False","1000","github","","67329","1543","0","87040"
"2026-02-19","some-natalie","copilot","copilot_premium_request","Claude Opus 4.5","24","requests","0.04","0.96","0.96","0","False","1000","larger-runner-demo","","918","2562","81707","120251"
"2026-02-19","optimisticjc","copilot","copilot_premium_request","Claude Opus 4.6","3","requests","0.04","0.12","0.12","0","False","1000","optimisticjc-ceviche","","2","197","13660","0"
"2026-02-19","LindseyB","copilot","copilot_premium_request","Claude Sonnet 4.5","28","requests","0.04","1.1200000000000003","1.1200000000000003","0","False","1000","evil-copilot-avocado","","160","24060","196069","643799"
"2026-02-19","some-natalie","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","1000","larger-runner-demo","","382","667","0","0"
"2026-02-19","KittyChiu","copilot","copilot_premium_request","Claude Sonnet 4.6","16","requests","0.04","0.64","0.64","0","False","1000","avocadosmash","","292667","4422","0","11853"
"2026-02-19","optimisticjc","copilot","copilot_premium_request","GPT-5.1","4","requests","0.04","0.16","0.16","0","False","1000","optimisticjc-ceviche","","21651","1097","0","21632"
"2026-02-19","optimisticjc","copilot","copilot_premium_request","GPT-5.2","8","requests","0.04","0.32","0.32","0","False","1000","optimisticjc-ceviche","","15521","1860","0","61184"
"2026-02-19","LindseyB","copilot","copilot_premium_request","GPT-5.2","1","requests","0.04","0.04","0.04","0","False","1000","evil-copilot-avocado","","6792","1099","0","6784"
"2026-02-19","KittyChiu","copilot","copilot_premium_request","GPT-5.2","27","requests","0.04","1.0800000000000003","1.0800000000000003","0","False","1000","avocadosmash","","304815","27463","0","593792"
